house,casa
dog,perro
pen,lapicero
water,agua
ball,pelota
paper,papel
watch,reloj
light,luz
inside,adentro
drink,toma
the,el
water,agua
point,punto
where,donde
provoke,provocar
before,antes
they,ellos
joke,chiste
desperation,desesperacion
screen,pantalla
list,lista
and,y
that,que
surprised,sorprendido
don't,no
dying,muriendo
were,estabas
she,ella
saw,vio
wasn't,no
what,que
means,significa
another,otro
variation,variacion
theme,tema
magazine,revista
professional,profesional
around,alrededor
when,cuando
replace,reemplazar
fist,puño
us,nosotros
with,con
want,querer
your,tu
morning,mañana
after,despues
